doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
dich-vu-su-dung-phong-hop-nhom,data\thu-vien\dich-vu-su-dung-phong-hop-nhom.md,Dịch vụ sử dụng phòng họp nhóm,https://library.hust.edu.vn/vi/node/1362,2026-09-19,not-stated,public-source
ftu-library-rules,data\thu-vien\ftu-library-rules.md,Nội quy Thư viện Đại học Ngoại thương,https://hcmc.ftu.edu.vn/thu-vien/tin-tuc-thu-vien/noi-quy-thu-vien/,2026-09-19,2026-08-10,public-source
haui-library-policy,data\thu-vien\haui-library-policy.md,Nội quy Thư viện Đại học Công nghiệp Hà Nội,https://lib.haui.edu.vn/opac80/ChinhSach.aspx,2026-09-19,not-stated,public-source
huit-library-usage-policy,data\thu-vien\huit-library-usage-policy.md,Quy định sử dụng Thư viện HUIT,https://thuvien.huit.edu.vn/Page/quy-dinh-su-dung-thu-vien,2026-09-19,not-stated,public-source
muon-tra-tai-lieu-inhouse,data\thu-vien\muon-tra-tai-lieu-inhouse.md,Mượn trả tài liệu đọc tại chỗ,https://library.hust.edu.vn/vi/node/1300,2026-09-19,not-stated,public-source
phong-doc-tu-chon,data\thu-vien\phong-doc-tu-chon.md,Quy định phòng đọc tự chọn,https://library.hust.edu.vn/vi/node/57,2026-09-19,not-stated,public-source
quy-dinh-lam-the-ban-doc,data\thu-vien\quy-dinh-lam-the-ban-doc.md,Quy định làm thẻ bạn đọc thư viện,https://library.hust.edu.vn/vi/node/305,2026-09-19,not-stated,public-source
quy-trinh-lam-the-can-bo,data\thu-vien\quy-trinh-lam-the-can-bo.md,Quy trình làm thẻ thư viện cho cán bộ giảng viên,https://library.hust.edu.vn/vi/node/1034,2026-09-19,not-stated,public-source
thu-tuc-thanh-toan-ra-truong,data\thu-vien\thu-tuc-thanh-toan-ra-truong.md,Thủ tục thanh toán ra trường tại thư viện,https://library.hust.edu.vn/vi/node/61,2026-09-19,not-stated,public-source
vnua-library-borrowing,data\thu-vien\vnua-library-borrowing.md,Mượn trả tài liệu VNUA,https://infolib.vnua.edu.vn/dich-vu/muon-tra-tai-lieu,2026-09-19,not-stated,public-source
